,,,,,,,,,,,,,,,,,,능력치,,,,,,,,,,,,,,,,,,전법,,,,,,개성,,,,,진형,,,,,,,,,,
644,장달,801,남,185,209,0,222,1,100,,,영안,영안,미등장,없음,0,,43,56,31,20,21,건강,명리,어린강화,1,교활남,교활남,0,,,장달,,,1,,,,,,,소심,,,,,1,,,,,,,,,,
645,조달,1227,남,171,200,0,230,0,127,,,낙양,낙양,미등장,없음,0,,19,12,66,51,59,건강,예교,본초학,2,정중남,정중남,0,,,조달,,,1,,,,,,,점술,,,,,,,1,,,,,,,,
646,장저,883,남,170,193,0,232,0,72,,,자동,자동,미등장,없음,0,,51,58,35,31,36,건강,패도,봉시강화,1,보통남,보통남,0,,,장저,,,1,제사,,,,,,동요,,,,,,1,,,,,,,,,
647,장초,820,남,160,184,184,195,1,100,하진,하진,낙양,낙양,일반,파적교위,99,,65,56,62,51,69,건강,패도,화계연구,3,책사남,책사남,0,,,장막,,,1,화시,혼란,도발,,,,개수,소침,,,,,,,1,1,,,,,,
648,장제,213,남,236,253,0,280,1,126,,,양양,양양,미등장,없음,0,,68,43,80,78,83,건강,왕도,지세연구,4,정중남,정중남,0,,,장제,,,1,연노,철벽,업화,구축,시람,,불굴,담력,,,,1,,,1,,,,,,,
649,조통,219,남,209,223,0,260,0,75,,,계,계,미등장,없음,0,,68,65,61,54,57,건강,할거,운반개발,2,보통남,보통남,0,,,조운,조운,,2,경파,대갈,,,,,교련,,,,,,,,,1,,,,,,
650,장특,632,남,209,228,0,265,0,39,,,계,계,미등장,없음,0,,71,53,74,67,69,건강,왕도,공법개혁,3,보통남,보통남,0,,,장특,,,1,격려,철벽,저지,,,,봉살,교사,개수,,,1,,,,,,,,1,,
651,장남,795,남,168,187,0,208,1,39,,,남피,남피,미등장,없음,0,,57,70,46,34,33,건강,패도,삼령오신,3,보통남,보통남,0,,,장남,,,1,화시,매성,,,,,저돌,,,,,,1,,,,,,,,,
652,장남,463,남,187,209,0,222,1,74,,,무릉,무릉,미등장,없음,0,,70,68,37,43,56,건강,할거,학익강화,3,보통남,보통남,0,,,장남,,,1,제사,견제,,,,,소침,,,,,1,,,,1,,,,,,
653,장막,269,남,155,184,184,195,1,100,하진,하진,낙양,낙양,일반,호위장군,99,,53,52,70,73,82,건강,명리,호적정비,4,정중남,정중남,0,,,장막,,,1,견제,혼란,투석,,,,명성,절감,소심,동요,우유,,,,,1,,,,,1,
654,조범,65,남,168,187,0,218,0,83,,,업,업,미등장,없음,0,,28,21,32,58,56,건강,명리,지역순회,2,정중남,정중남,0,,,조범,,,1,,,,,,,소심,나약,,,,,1,,,,,,,,,
655,장범,1228,남,153,184,0,212,0,22,,,낙양,낙양,재야,없음,0,,10,7,64,72,78,건강,예교,본초학,3,정중남,정중남,0,,,장범,,,1,치료,,,,,,교화,소욕,,,,,,,,1,,,,,,
656,장비,1,남,167,184,184,221,1,75,유언,유언,계,계,일반,분무교위,100,,86,98,33,22,44,건강,아도,봉시강화,5,장비,장비,15,,유비,장비,,,1,만인적,돌격,대갈,도발,매성,,투장,단기,잠재,저돌,주란,1,1,,,,1,,,,,
657,장포,395,남,225,244,0,264,1,113,,,오,오,미등장,없음,0,,31,24,70,67,40,건강,명리,화계연구,3,교활남,교활남,0,,,장포,,,1,업화,매성,,,,,소심,오만,,,,,,,1,,,,,,,
658,장포,103,남,198,212,0,229,1,75,,,계,계,미등장,없음,0,,75,87,48,46,67,건강,아도,봉시강화,4,호걸남,호걸남,71,,,장비,장비,,2,호익용전,돌격,대갈,도발,,,소탕,호걸,노발,저돌,,1,1,,,,,1,,,,
659,장보,521,남,148,184,184,184,1,7,장각,장각,복양,복양,태수,지공장군,120,,83,71,81,66,86,건강,아도,지세연구,5,책사남,책사남,0,,,장각,,,1,중황태을,업화,혼란,고무,치료,정란,환술,의술,견수,사역,선동,,,1,1,1,,,1,,,
660,장만성,713,남,143,184,184,184,1,7,장각,장량,완,완,태수,신상사,100,,74,81,47,39,57,건강,아도,군제개혁,4,호걸남,호걸남,0,,,장만성,,,1,제사,경파,철벽,,,,일심,사역,,,,1,,,,1,,,,,,
661,장양,483,남,151,184,184,198,1,145,정원,정원,진양,진양,일반,아문장군,100,,72,70,67,58,70,건강,할거,병참개혁,3,정중남,정중남,0,,,장양,,,1,돌격,격려,교란,,,,조달,자비,모집,,,,1,,,,1,,,,,
662,장익,202,남,188,207,0,264,1,68,,,성도,성도,미등장,없음,0,,75,74,72,72,70,건강,할거,시설개발,3,용장남,용장남,0,,,장익,,,1,연노,철벽,경파,저지,,,숲전,조달,금강,법률,친만,,,1,1,,1,,,,,
663,장료,14,남,169,188,0,222,1,23,,,진양,진양,미등장,없음,0,,95,92,78,58,77,건강,패도,어린강화,5,용장남,용장남,33,,,장료,,,1,료래료래,돌격,견제,저지,도발,,위풍,호걸,담력,장구,과감,1,1,,,,1,1,,,,
664,장량,522,남,153,184,184,184,1,7,장각,장량,허창,허창,도독,인공장군,120,,78,80,70,53,82,건강,패도,시설개발,4,호걸남,호걸남,0,,,장각,,,1,분전,업화,매성,치료,,,환술,사역,보좌,의술,,1,1,,,1,,,,,,
665,조루,396,남,183,202,0,219,1,74,,,강릉,강릉,미등장,없음,0,,67,43,68,74,71,건강,예교,운반개발,3,보통남,보통남,0,,,조루,,,1,제사,고무,투석,,,,절약,조달,진화,보좌,,,,1,,,,,,,1,
666,장로,66,남,163,184,0,216,0,15,,,한중,한중,재야,없음,0,,51,26,73,78,89,건강,할거,본초학,5,거만남,거만남,0,,,장로,,,1,만법귀일,격려,고무,,,,절약,자비,의술,미도,소욕,,,,1,1,,,,,,
667,진횡,397,남,161,184,0,195,1,11,,,건업,건업,미발견,없음,0,,63,64,26,35,42,건강,할거,봉시강화,2,보통남,보통남,0,,,진횡,,,1,돌격,업화,,,,,교련,단려,,,,,1,,,,,,,,,
668,진응,597,남,172,203,0,208,1,12,,,계양,계양,미등장,없음,0,,62,72,45,27,40,건강,명리,지세연구,3,보통남,보통남,0,,,진응,,,1,철벽,교란,,,,,숲전,공명,,,,,,,,,1,,,,,
669,진화,1229,남,180,203,0,252,0,122,,,여남,여남,미등장,없음,0,,18,28,60,74,69,건강,예교,종횡술,3,위엄남,위엄남,0,,,진화,,,1,,,,,,,절약,논객,,,,,,,1,,,,,,,
670,진기,579,남,165,184,0,197,1,140,,,시상,시상,미발견,없음,0,,58,65,43,48,31,건강,패도,안행강화,2,보통남,보통남,0,,,진기,,,1,화시,도발,,,,,개수,,,,,,,1,,,,,,,,
671,진궁,104,남,154,184,0,198,1,143,,,복양,복양,미발견,없음,0,,79,55,89,83,69,건강,명리,화계연구,4,책사남,책사남,76,,,진궁,,,1,기각지계,도발,진정,투석,,,모략,동지,감지,지낭,오만,,,1,,1,,,,,1,
672,진교,262,남,175,194,0,237,0,29,,,광릉,광릉,미등장,없음,0,,61,27,76,83,65,건강,패도,호적정비,4,책사남,책사남,0,,,진교,,,1,화시,저지,,,,,법률,능리,감수,,,,,1,1,,,,,,,
673,진군,105,남,167,186,0,235,0,28,,,허창,허창,미등장,없음,0,,32,14,74,97,73,건강,예교,정령철저,5,정중남,정중남,0,,,진군,,,1,치료,,,,,,명성,법률,교화,능리,안목,,,,1,,,,,,,
674,진규,299,남,132,184,0,206,0,79,,,하비,하비,미발견,없음,0,,15,5,82,77,74,건강,명리,지세연구,4,책사남,책사남,0,,,진규,,,1,저지,도발,,,,,언독,교사,책사,명성,여망,,,1,,1,,,,,,
675,진건,398,남,214,233,0,292,0,29,,,광릉,광릉,미등장,없음,0,,72,71,65,61,50,건강,패도,시설개발,3,위엄남,위엄남,0,,,진교,진교,,2,급습,격려,충차,구축,,,교련,개수,,,,1,,,,,,,,1,,
676,진지,821,남,216,235,0,258,0,75,,,여남,여남,미등장,없음,0,,42,25,65,81,23,건강,명리,세출개선,4,책사남,책사남,0,,,진지,,,1,화시,도발,매성,,,,점술,오만,탐욕,,,,,1,,,,,,,,
677,진수,295,남,233,252,0,297,0,50,,,강주,강주,미등장,없음,0,,12,22,60,75,49,건강,예교,태학,3,정중남,정중남,0,,,진식,,,2,,,,,,,사관,,,,,,,,1,,,,,,,
678,진취,862,남,169,196,0,208,1,41,,,강하,강하,미등장,없음,0,,58,65,32,28,35,건강,명리,어린강화,2,난폭남,난폭남,0,,,진취,,,1,구축,,,,,,수전,저돌,,,,1,,,,,,,,,,
679,진수,1230,남,197,215,0,229,0,124,,,여강,여강,미등장,없음,0,,60,56,38,31,52,건강,할거,수군육성,2,위엄남,위엄남,0,,,진무,진무,,2,구축,강습,,,,,조타,,,,,,,1,,,,,,,,
680,진식,399,남,191,210,0,230,1,81,,,강주,강주,미등장,없음,0,,73,70,30,23,22,건강,아도,병기강화,3,호걸남,호걸남,0,,,진식,,,1,견제,교란,정란,,,,산전,분쇄,공명,경망,,,,,,,1,,1,,,
681,진진,242,남,170,189,0,235,0,79,,,완,완,미등장,없음,0,,46,46,67,76,75,건강,명리,종횡술,3,정중남,정중남,0,,,진진,,,1,구축,,,,,,운반,능리,논객,,,,,1,,,,,,,,
682,진태,199,남,210,224,0,260,0,28,,,허창,허창,미등장,없음,0,,84,73,86,78,77,건강,왕도,군제개혁,4,정중남,정중남,0,,,진군,진군,,2,분전,격려,업화,진정,충차,,산전,침착,해제,명성,,1,,,,1,1,,,1,,
683,진등,220,남,169,188,0,207,0,79,,,하비,하비,미등장,없음,0,,80,64,81,80,64,건강,명리,시설개발,4,위엄남,위엄남,0,,,진규,진규,,2,혼수모어,연노,철벽,경파,충차,투석,붕벽,봉살,감지,명성,진흥,,,1,1,,,,,1,1,
684,진도,502,남,171,194,0,237,0,72,,,여남,여남,미등장,없음,0,,76,72,65,50,67,건강,할거,공법개혁,3,용장남,용장남,0,,,진도,,,1,분전,격려,업화,,,,금강,교련,개수,,,1,1,,,,,,,,,
685,진표,582,남,204,218,0,237,0,124,,,여강,여강,미등장,없음,0,,64,42,73,78,69,건강,왕도,수군육성,3,보통남,보통남,0,,,진무,진무,,2,구축,시람,,,,,독려,모집,소욕,,,1,,,,,,,,,,
686,진무,221,남,176,195,0,215,1,124,,,여강,여강,미등장,없음,0,,74,86,43,40,63,건강,패도,수군육성,4,호걸남,호걸남,0,,,진무,,,1,분전,구축,강습,시람,,,수전,호걸,금강,동원,,1,,,1,,,,,,,
687,진란,252,남,157,184,0,204,1,142,,,여남,여남,미발견,없음,0,,66,69,41,24,36,건강,아도,장사강화,2,난폭남,난폭남,0,,,진란,,,1,돌격,매성,,,,,산전,강탈,적도,공명,경솔,,1,,,,1,,,,,
688,진림,400,남,160,184,184,217,0,37,하진,노식,업,업,일반,없음,99,,9,9,74,78,72,건강,명리,태학,3,정중남,정중남,0,,,진림,,,1,고무,,,,,,시상,,,,,,,,1,,,,1,,,
689,정욱,106,남,141,184,0,220,0,24,,,복양,복양,미발견,없음,0,,70,49,90,79,56,건강,명리,침략황폐,5,책사남,책사남,0,,,정욱,,,1,십면매복,혼란,도발,매성,충차,,모략,절약,선동,교사,책사,1,,,1,,,,,1,,
690,정원지,523,남,145,184,184,184,1,7,장각,장각,남피,남피,태수,신상사,100,,69,74,18,25,29,건강,아도,침략황폐,3,난폭남,난폭남,0,,,정원지,,,1,분전,교란,,,,,저돌,경망,,,,,1,,,,,,,,,
691,정기,1231,남,158,187,0,222,1,62,,,자동,자동,미등장,없음,0,,68,60,75,71,72,건강,왕도,병기강화,3,위엄남,위엄남,0,,,정기,,,1,저지,진정,투석,,,,후위,동지,진화,,,,,,1,,,,,,1,
692,정의,583,남,184,203,0,220,1,22,,,소패,소패,미등장,없음,0,,15,3,64,70,40,건강,명리,세출개선,3,책사남,책사남,0,,,정의,,,1,,,,,,,문화,주란,,,,,,,,,,,1,,,
693,정은,401,남,169,184,0,211,1,69,,,안정,안정,미발견,없음,0,,69,73,40,35,50,건강,아도,병참개혁,3,호걸남,호걸남,0,,,정은,,,1,경파,매성,,,,,과감,직정,,,,,1,,,,,1,,,,
694,정원,532,남,137,184,184,189,1,88,정원,정원,진양,진양,군주,없음,250,,71,76,37,42,74,건강,왕도,군제개혁,3,위엄남,위엄남,0,,,정원,,,1,돌격,경파,대갈,,,,과감,교련,감수,,,,1,,,,1,,,,,
695,정고,1232,남,198,217,0,273,0,130,,,회계,회계,미등장,없음,0,,62,33,70,76,67,건강,예교,호적정비,3,정중남,정중남,0,,,정고,,,1,교란,강습,,,,,능리,위무,감수,,,,,,1,,,,,,,
696,정혼,1233,남,159,184,0,223,0,95,,,낙양,낙양,미발견,없음,0,,68,32,67,87,82,건강,왕도,공법개혁,4,정중남,정중남,0,,,정태,,,1,견제,저지,치료,,,,축성,진흥,법률,농정,여망,,,,,1,,,,,1,
697,정자,1234,남,182,201,0,226,0,126,,,북평,북평,미등장,없음,0,,53,52,50,47,55,건강,왕도,병참개혁,1,보통남,보통남,0,,,정보,정보,,2,경파,구축,,,,,조타,,,,,,,1,,,,,,,,
698,정천,1235,남,185,204,0,230,0,111,,,허창,허창,미등장,없음,0,,20,27,61,68,72,건강,할거,종횡술,3,책사남,책사남,0,,,정천,,,1,도발,,,,,,논객,특사,주란,,,,,,,1,,,,,,
699,정태,1236,남,154,184,184,194,0,22,하진,하진,함곡관,함곡관,일반,주부,100,,50,31,80,74,71,건강,왕도,묵수연구,4,위엄남,위엄남,0,,,정태,,,1,저지,혼란,,,,,동지,책사,,,,,,1,,,,,,,,
700,정주,1237,남,201,220,0,267,0,130,,,소패,소패,미등장,없음,0,,58,44,52,61,57,건강,예교,장사강화,2,보통남,보통남,0,,,정주,,,1,경파,강습,,,,,위무,,,,,,,,,,1,,,,,
701,정도,863,남,168,192,0,215,0,50,,,성도,성도,미등장,없음,0,,24,28,74,50,21,건강,명리,화계연구,3,책사남,책사남,0,,,정도,,,1,업화,저지,,,,,봉살,,,,,,,1,,,,,1,,,
702,정비,1238,남,167,189,0,219,0,25,,,허창,허창,미등장,없음,0,,52,40,57,45,35,건강,명리,운반개발,1,교활남,교활남,0,,,정비,,,1,혼란,도발,,,,,강탈,농정,탐욕,,,1,,,,,,,,,,
703,정보,161,남,151,184,184,216,0,126,손견,손견,하비,하비,일반,건무교위,120,,85,79,79,74,86,건강,왕도,군제개혁,4,위엄남,위엄남,53,,,정보,,,1,총명강의,분전,격려,진정,충차,시람,수전,구심,태연,주석,명성,1,,,1,1,,,,1,,
704,정무,402,남,201,215,0,265,0,24,,,복양,복양,미등장,없음,0,,54,35,75,71,49,건강,패도,지세연구,3,책사남,책사남,0,,,정욱,정욱,,2,도발,매성,,,,,언독,,,,,,,,,1,,,,,,
705,정병,403,남,172,191,0,226,0,119,,,북해,북해,미등장,없음,0,,16,14,68,72,65,건강,예교,태학,3,정중남,정중남,0,,,정병,,,1,투석,,,,,,학자,소심,,,,,,,,,,,,,1,
706,정봉,189,남,190,207,0,271,0,123,,,여강,여강,미등장,없음,0,,81,80,71,55,56,건강,왕도,어린강화,4,용장남,용장남,0,,,정봉,,,1,급습,화시,교란,강습,시람,,원시,지리,조타,개수,강건,1,,,,,1,1,,,,
707,정봉,611,남,198,217,0,266,0,123,,,여강,여강,미등장,없음,0,,66,66,53,39,61,건강,할거,병참개혁,2,보통남,보통남,0,,,정봉,,,1,분전,구축,강습,,,,조타,,,,,1,,,,,,,,,,
708,철리길,814,남,179,210,0,259,0,49,,,천수,천수,미등장,없음,0,,65,63,46,49,52,건강,아도,침략황폐,2,거만남,거만남,0,,,철리길,,,1,돌격,대갈,,,,,강저,동원,향도,,,,1,,,,1,,,,,
709,전위,13,남,160,184,0,197,1,25,,,진류,진류,미발견,없음,0,,57,95,35,29,58,건강,패도,방원강화,5,용장남,용장남,32,,,전위,,,1,인왕서기,철벽,대갈,교란,,,맹자,호걸,후위,호위,주란,1,,,1,,,,,,,
710,전해,512,남,154,184,184,199,0,64,공손찬,공손찬,북평,북평,일반,없음,99,,68,65,57,60,63,건강,할거,공법개혁,3,보통남,보통남,0,,,전해,,,1,돌격,견제,,,,,모집,낭비,,,,,1,,,,,,,,,
711,전속,404,남,218,237,0,272,0,42,,,계,계,미등장,없음,0,,47,60,55,15,27,건강,명리,학익강화,2,교활남,교활남,0,,,전주,,,3,저지,,,,,,소심,,,,,,,,,1,,,,,,
712,전주,405,남,169,188,0,214,0,42,,,북평,북평,미등장,없음,0,,66,66,72,74,74,건강,왕도,호적정비,3,정중남,정중남,0,,,전주,,,1,제사,혼란,고무,,,,교화,향도,친오,소욕,,,,,,,1,1,,,,
713,전풍,107,남,162,184,0,200,1,96,,,업,업,미발견,없음,0,,72,29,93,87,68,건강,왕도,화계연구,5,위엄남,위엄남,81,,,전풍,,,1,격려,업화,진정,치료,충차,,동지,간파,신중,책사,능리,1,,,,1,,,,1,,
714,전만,515,남,181,195,0,235,0,23,,,진류,진류,미등장,없음,0,,50,67,38,25,48,건강,패도,지역순회,2,보통남,보통남,0,,,전위,전위,,2,대갈,,,,,,교련,,,,,,,,1,,,,,,,
715,전예,554,남,171,189,0,252,0,31,,,계,계,미등장,없음,0,,80,72,80,78,75,건강,왕도,군제개혁,4,위엄남,위엄남,0,,,전예,,,1,규략명련,돌격,제사,저지,혼란,,명경,봉살,친오,소욕,,,,1,,,1,,,1,,
716,토안,809,남,191,217,0,225,1,50,,,운남,운남,미등장,없음,0,,52,63,2,2,17,건강,아도,침략황폐,2,난폭남,난폭남,0,,,토안,,,1,철벽,,,,,,남만,등갑,저돌,경솔,,,,,,,1,,,,,
717,등윤,231,남,194,221,0,256,1,116,,,북해,북해,미등장,없음,0,,29,41,71,76,64,건강,예교,호적정비,3,정중남,정중남,0,,,등윤,,,1,정란,구축,,,,,태연,교화,,,,,,,,,,,1,,,
718,동윤,164,남,192,214,0,246,0,78,,,강릉,강릉,미등장,없음,0,,47,28,78,91,73,건강,예교,지역진흥,5,정중남,정중남,0,,,동화,동화,,2,제사,진정,투석,,,,동지,진흥,교화,절감,,,,,,1,,,,,1,
719,동화,413,남,168,187,0,219,0,66,,,강릉,강릉,미등장,없음,0,,57,34,73,87,72,건강,예교,호적정비,4,정중남,정중남,0,,,동화,,,1,진정,,,,,,법률,교화,인정,친만,소욕,,,,,1,,,,,,
720,등애,126,남,197,216,0,264,1,41,,,신야,신야,미등장,없음,0,,94,87,89,81,70,건강,패도,지세연구,5,위엄남,위엄남,89,,,등애,,,1,강장진군,제사,격려,고무,진정,충차,지리,질주,장구,둔전,농정,1,,,,1,1,1,,1,,
721,등의,1239,남,165,189,0,216,0,30,,,신야,신야,미등장,없음,0,,42,22,61,72,56,건강,예교,종횡술,3,책사남,책사남,0,,,등의,,,1,저지,매성,,,,,소심,,,,,,,,1,,,,,,,
722,당균,612,남,229,248,0,264,0,40,,,양양,양양,미등장,없음,0,,33,23,77,56,45,건강,명리,종횡술,3,책사남,책사남,0,,,당균,,,1,도발,충차,,,,,언독,,,,,,,,,,1,,,1,,
723,동궐,406,남,204,223,0,271,0,73,,,신야,신야,미등장,없음,0,,65,59,75,78,63,건강,왕도,병참개혁,3,정중남,정중남,0,,,동궐,,,1,연노,고무,정란,,,,절약,조달,보좌,,,,,1,,,,,1,,,
724,도겸,67,남,132,184,184,194,0,82,하진,노식,진류,진류,일반,평동장군,97,,51,33,63,64,77,건강,명리,호적정비,3,정중남,정중남,0,,,도겸,,,1,견제,업화,혼란,,,,조달,동원,소심,,,,,,1,1,,,,,,
725,등현,407,남,188,208,0,248,0,54,,,장안,장안,미등장,없음,0,,61,72,45,36,47,건강,명리,안행강화,3,보통남,보통남,0,,,맹달,,,2,제사,,,,,,소심,,,,,,,1,,,,,,,,
726,도황,1240,남,232,246,0,290,0,120,,,건업,건업,미등장,없음,0,,80,67,68,75,80,건강,왕도,군제개혁,4,위엄남,위엄남,0,,,도준,,,1,분전,견제,충차,구축,시람,,숲전,감지,조타,교화,위무,1,,,,1,1,,,1,,
727,동황,864,남,168,185,0,192,1,2,,,천수,천수,미등장,없음,0,,43,37,26,18,25,건강,아도,성벽확장,1,거만남,거만남,0,,,동탁,,,2,업화,,,,,,징세,낭비,,,,,1,,,,,,,,,
728,동형,872,남,169,193,0,219,1,29,,,안정,안정,미등장,없음,0,,60,59,41,32,30,건강,아도,봉시강화,2,보통남,보통남,0,,,동형,,,1,교란,,,,,,공명,동요,,,,,1,,,,,,,,,
729,등지,190,남,182,201,0,251,0,73,,,신야,신야,미등장,없음,0,,73,52,79,85,88,건강,할거,종횡술,4,정중남,정중남,0,,,등지,,,1,연노,견제,진정,투석,,,절약,개수,논객,특사,소욕,,,,1,1,,,,,1,
730,당자,408,남,196,225,0,265,0,132,,,하비,하비,미등장,없음,0,,61,71,50,52,63,건강,할거,수군육성,3,용장남,용장남,0,,,당자,,,1,견제,구축,시람,,,,조달,조타,,,,1,,,,,,,,,,
731,동습,222,남,169,188,0,215,1,127,,,회계,회계,미등장,없음,0,,72,85,50,48,60,건강,할거,수군육성,4,호걸남,호걸남,0,,,동습,,,1,경파,구축,강습,시람,,,조타,위무,저돌,,,,,,1,,1,,,,,
732,등수,633,남,228,247,0,288,0,114,,,완,완,미등장,없음,0,,44,32,31,71,62,건강,패도,삼령오신,3,위엄남,위엄남,0,,,등수,,,1,,,,,,,교련,,,,,,,1,,,,,,,,
733,도준,394,남,238,252,0,285,0,120,,,건업,건업,미등장,없음,0,,67,66,51,50,53,건강,할거,수군육성,2,보통남,보통남,0,,,도준,,,1,제사,투석,구축,강습,,,조타,소침,동요,경망,,,,1,,,,,,,1,
734,동승,409,남,154,184,184,200,1,89,하진,노식,업,업,일반,토역장군,100,,57,55,65,61,74,건강,왕도,학익강화,3,정중남,정중남,0,,,동승,,,1,격려,저지,정란,,,,혈로,소침,,,,,,,,1,,,1,,,
735,동소,263,남,156,184,0,236,0,21,,,복양,복양,미발견,없음,0,,24,25,85,82,59,건강,명리,운반개발,4,책사남,책사남,0,,,동소,,,1,업화,충차,,,,,태연,운반,축성,책사,강건,,,,,,1,,,1,,
736,동탁,68,남,139,184,184,192,1,1,동탁,동탁,천수,천수,군주,없음,250,,85,85,69,19,37,건강,아도,상병벌모,3,거만남,거만남,73,,,동탁,,,1,도산경해,연노,대갈,업화,매성,,효웅,징세,악명,난폭,탐욕,,1,1,,,1,,,,,
737,등충,410,남,230,244,0,264,1,41,,,신야,신야,미등장,없음,0,,72,85,68,53,67,건강,패도,장사강화,4,용장남,용장남,0,,,등애,등애,,2,분전,고무,진정,,,,산전,장구,보좌,,,1,,,,,1,,,,,
738,동조,588,남,221,240,0,281,0,129,,,회계,회계,미등장,없음,0,,16,13,54,69,67,건강,예교,지역진흥,2,정중남,정중남,0,,,동조,,,1,충차,,,,,,능리,,,,,,,,,,,,,1,,
739,동도나,142,남,189,217,0,225,1,62,,,운남,운남,미등장,없음,0,,68,73,33,37,49,건강,할거,지역순회,3,호걸남,호걸남,0,,,동도나,,,1,경파,매성,,,,,남만,우유,,,,,,,1,,1,,,,,
740,답돈,714,남,158,184,0,207,1,99,,,북평,북평,미발견,없음,0,,82,81,52,34,55,건강,아도,추행강화,4,거만남,거만남,0,,,구력거,,,2,급습,제사,대갈,,,,오환,동원,강건,저돌,,,1,,,,1,1,,,,
741,동백,846,여,177,190,0,192,1,1,,,천수,천수,미등장,없음,0,,5,2,43,51,57,건강,예교,성벽확장,1,보통녀,보통녀,0,,,동탁,,,3,,,,,,,부호,,,,,,,,,1,,,,,,
742,당빈,634,남,235,254,0,294,0,32,,,소패,소패,미등장,없음,0,,68,74,66,53,60,건강,패도,삼령오신,3,보통남,보통남,0,,,당빈,,,1,화시,경파,정란,구축,,,교화,교련,친선,탐욕,,,,1,,,,,1,,,
743,동민,411,남,149,184,184,192,1,1,동탁,동탁,천수,천수,일반,호위장군,120,,49,60,24,10,20,건강,아도,성벽확장,2,거만남,거만남,0,,,동탁,,,1,교란,도발,,,,,징세,낭비,난폭,탐욕,,,1,,,,,,,,,
744,동부,1241,남,111,184,184,192,0,55,하진,하진,낙양,낙양,일반,권학종사,99,,5,4,67,56,68,건강,예교,태학,2,책사남,책사남,0,,,동부,,,1,,,,,,,점술,학자,,,,,,,,,,,,,1,
745,등방,1242,남,178,202,0,222,0,66,,,강릉,강릉,미등장,없음,0,,71,68,59,52,55,건강,할거,군제개혁,3,보통남,보통남,0,,,등방,,,1,화시,격려,,,,,모집,친만,,,,1,,,,1,,,,,,
746,등무,528,남,147,184,184,184,1,7,장각,장각,남피,남피,일반,방두좨주,100,,61,76,29,17,35,건강,아도,화계연구,3,난폭남,난폭남,0,,,등무,,,1,화시,매성,,,,,적도,저돌,난폭,,,,1,,,,1,,,,,
747,등룡,865,남,172,191,0,208,1,41,,,신야,신야,미등장,없음,0,,54,67,36,26,33,건강,아도,봉시강화,2,용장남,용장남,0,,,등룡,,,1,구축,,,,,,조타,저돌,,,,,1,,,,,,,,,
748,두기,796,남,163,184,0,224,0,32,,,장안,장안,미발견,없음,0,,66,32,74,87,76,건강,왕도,운반개발,4,정중남,정중남,0,,,두기,,,1,제사,저지,치료,투석,,,운반,진흥,교화,교련,절감,,,1,,,,,,,1,
749,두경,1243,남,167,194,0,250,0,63,,,성도,성도,미등장,없음,0,,50,38,63,58,60,건강,예교,병참개혁,2,정중남,정중남,0,,,두경,,,1,저지,매성,,,,,점술,문화,,,,,,,,,1,,,,,
750,두씨,847,여,172,191,0,221,0,16,,,장안,장안,미등장,없음,0,,16,3,50,48,67,건강,할거,병기강화,2,보통녀,보통녀,0,,,두씨,,,1,,,,,,,응원,,,,,,,,,,,,,1,,
751,두습,866,남,164,184,0,237,0,29,,,허창,허창,미발견,없음,0,,73,58,77,71,64,건강,왕도,지세연구,3,정중남,정중남,0,,,두습,,,1,철벽,견제,치료,,,,산전,보좌,농정,모집,,,,,1,,1,,,,,
752,두예,191,남,222,241,0,284,0,32,,,장안,장안,미등장,없음,0,,86,30,85,80,81,건강,왕도,학익강화,4,정중남,정중남,0,,,두기,,,3,파죽지세,화시,연노,고무,정란,구축,수전,장구,앙양,법률,문화,,,1,,1,,1,1,,,
753,영수,590,남,234,253,0,264,0,73,,,천수,천수,미등장,없음,0,,67,69,72,41,52,건강,패도,병참개혁,3,보통남,보통남,0,,,영수,,,1,도발,매성,,,,,둔전,,,,,,,,,,1,,,,,
754,배원소,258,남,169,184,184,200,1,68,장각,장각,평원,평원,일반,좨주,98,,49,65,25,27,41,건강,아도,봉시강화,2,난폭남,난폭남,0,,,배원소,,,1,분전,매성,,,,,강탈,적도,저돌,,,,1,,,,,,,,,
755,배수,613,남,224,243,0,271,0,30,,,낙양,낙양,미등장,없음,0,,8,9,70,80,42,건강,예교,지세연구,4,책사남,책사남,0,,,배잠,배잠,,2,정란,충차,,,,,발명,지리,문화,,,,,,,,,,1,1,,
756,배잠,1244,남,183,202,0,244,0,28,,,낙양,낙양,미등장,없음,0,,63,30,74,75,51,건강,왕도,운반개발,3,책사남,책사남,0,,,배잠,,,1,철벽,,,,,,독려,조달,보좌,능리,,,,,1,,,,,,,
757,마운록,784,여,183,197,0,225,0,70,,,무위,무위,미등장,없음,0,,70,73,39,32,61,건강,할거,봉시강화,3,용감녀,용감녀,0,,,마등,마등,,2,급습,격려,,,,,과감,,,,,,1,,,,,1,,,,
758,마연,1245,남,166,185,0,208,1,93,,,업,업,미등장,없음,0,,47,60,28,23,36,건강,할거,어린강화,2,보통남,보통남,0,,,마연,,,1,교란,,,,,,소심,,,,,1,,,,,,,,,,
759,마완,419,남,170,189,0,211,1,48,,,무위,무위,미등장,없음,0,,71,74,16,23,35,건강,아도,침략황폐,3,난폭남,난폭남,0,,,마완,,,1,돌격,경파,,,,,과감,저돌,,,,1,1,,,,,,,,,
